schema,K,features_used,standardization,source
hierarchical_single_7,7.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_single_8,8.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_single_9,9.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
hierarchical_single_10,10.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
gmm_5,5.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
gmm_6,6.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
gmm_7,7.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
gmm_8,8.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
gmm_9,9.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
gmm_10,10.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
dbscan_eps0.5_min3,2.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
dbscan_eps1.0_min3,3.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
dbscan_eps1.0_min5,2.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
dbscan_eps1.5_min3,4.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
dbscan_eps1.5_min5,2.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
dbscan_eps2.0_min3,3.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
dbscan_eps2.5_min3,5.0,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_clustering_strategies_20250728_141329.json
advanced_ecosystem_interpretations_20250728_141329,,,,ecosystem/evaluation/clustering_results\new_pipeline_one\advanced_ecosystem_interpretations_20250728_141329.json
K-means (4 clusters),4.0,species_functional_group_code_encoded,scaled,ecosystem/evaluation/clustering_results\plant_functional_20250804_053008\flexible_clustering_strategy_20250804_053008.json
preprocessing_summary_20250804_053008,,,,ecosystem/evaluation/clustering_results\plant_functional_20250804_053008\preprocessing_summary_20250804_053008.json
K-means (4 clusters),4.0,species_functional_group_code_encoded,scaled,ecosystem/evaluation/clustering_results\plant_functional_20250804_062759\flexible_clustering_strategy_20250804_062759.json
preprocessing_summary_20250804_062759,,,,ecosystem/evaluation/clustering_results\plant_functional_20250804_062759\preprocessing_summary_20250804_062759.json
K-means (4 clusters),4.0,species_functional_group_code_encoded,scaled,ecosystem/evaluation/clustering_results\plant_functional_20250807_004749\flexible_clustering_strategy_20250807_004749.json
preprocessing_summary_20250807_004749,,,,ecosystem/evaluation/clustering_results\plant_functional_20250807_004749\preprocessing_summary_20250807_004749.json
K-means (4 clusters),4.0,species_functional_group_code_encoded,scaled,ecosystem/evaluation/clustering_results\plant_functional_20250807_022622\flexible_clustering_strategy_20250807_022622.json
preprocessing_summary_20250807_022622,,,,ecosystem/evaluation/clustering_results\plant_functional_20250807_022622\preprocessing_summary_20250807_022622.json
kmeans_robust_3,3.0,,robust,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_robust_4,4.0,,robust,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_robust_5,5.0,,robust,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_robust_6,6.0,,robust,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_robust_7,7.0,,robust,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_robust_8,8.0,,robust,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_standard_3,3.0,,standard,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_standard_4,4.0,,standard,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_standard_5,5.0,,standard,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_standard_6,6.0,,standard,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_standard_7,7.0,,standard,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_standard_8,8.0,,standard,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_minmax_3,3.0,,minmax,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_minmax_4,4.0,,minmax,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_minmax_5,5.0,,minmax,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_minmax_6,6.0,,minmax,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_minmax_7,7.0,,minmax,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_minmax_8,8.0,,minmax,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_power_3,3.0,,power,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_power_4,4.0,,power,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_power_5,5.0,,power,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_power_6,6.0,,power,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_power_7,7.0,,power,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
kmeans_power_8,8.0,,power,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_ward_3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_ward_4,4.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_ward_5,5.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_ward_6,6.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_ward_7,7.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_ward_8,8.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_4,4.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_5,5.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_6,6.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_7,7.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_complete_8,8.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_4,4.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_5,5.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_6,6.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_7,7.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_average_8,8.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_4,4.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_5,5.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_6,6.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_7,7.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
hierarchical_single_8,8.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_4,4.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_5,5.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_6,6.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_7,7.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
gmm_8,8.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
dbscan_eps2.0_min3,2.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
dbscan_eps2.5_min3,3.0,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_clustering_strategies_20250728_122420.json
advanced_ecosystem_interpretations_20250728_122420,,,,ecosystem/evaluation/clustering_results\results_optimized_old_pipeline\advanced_ecosystem_interpretations_20250728_122420.json
